-1.94,3.25,1.31,-0.05,0.22,-1.29,1.25,2035.06,-0.06,-0.54,0.76,-0.01,-0.06,-1.25,0.25,0.13,-1.29,-0.01,2.81,4.44,6.31,-0.03,0.61,0.00,-0.63,-0.06,-1.19,-0.40,0.21,-1.29,-0.50,1.06,-8.06,0.00,0.00,0.00
8.81,1.63,-8.06,0.00,0.48,-1.29,2040.63,-0.06,-0.06,-0.01,0.49,-0.01,3.63,0.56,-8.06,0.16,0.05,-1.29,-0.50,0.94,-8.06,0.32,0.22,0.11,-2.06,0.31,-8.06,0.06,0.12,0.04,-0.75,-1.75,-1.00,-0.28,0.00,0.21
-0.13,-1.88,0.13,-0.12,0.17,-1.29,2042.50,-0.06,-0.06,-0.23,-0.02,-0.18,-0.13,0.31,0.31,0.01,0.19,-1.29,-0.38,0.06,0.81,-0.16,0.06,-1.29,0.94,-8.06,-0.06,0.05,0.24,0.08,-1.13,-0.50,0.63,-0.37,-0.37,0.12
-1.81,0.06,-0.06,-0.07,0.21,-1.29,2043.44,-0.06,-0.06,0.02,0.20,-0.01,-0.38,-0.50,-0.06,0.03,0.05,-1.29,-3.25,-3.00,-2.63,0.26,-1.29,-0.01,-0.31,0.38,0.19,0.01,0.14,0.02,-0.19,-2.06,-0.69,-0.14,-0.07,0.16
-2.81,1.06,0.31,-0.11,0.22,-0.01,-3.13,3.25,3.44,-0.21,0.06,-1.29,1.94,0.06,-0.06,-0.07,-0.05,-0.11,-2.38,-0.69,0.06,-0.09,-0.12,0.06,0.19,-8.06,-0.06,0.08,0.15,-1.29,0.06,1.44,-8.06,-0.35,-0.06,0.11
3.38,0.81,-8.06,0.00,0.25,-1.29,-2.50,2.44,1.44,-0.02,-0.10,-0.18,0.94,0.94,-0.06,0.09,0.11,-1.29,0.06,1.88,0.75,0.02,0.05,-1.29,0.69,-8.06,-0.06,0.13,0.08,0.04,-0.63,-0.06,-0.25,-0.17,-0.09,0.14
0.88,-0.06,-0.06,-0.03,0.26,-1.29,0.00,0.31,-8.06,0.03,0.03,-1.29,-0.94,0.50,0.06,0.02,0.00,0.00,1.25,0.38,0.00,0.15,0.03,0.01,-0.31,0.31,-8.06,-0.05,0.01,-1.29,-0.69,0.19,0.00,-0.28,-0.06,0.19
1.88,0.44,0.31,-0.03,0.20,-0.01,-1.38,-0.13,0.00,-0.09,0.00,-1.29,-0.81,0.06,-0.06,0.03,0.01,-0.01,1.00,-8.06,-0.06,0.05,0.00,-1.29,-0.44,0.06,-8.06,0.04,-1.29,-0.01,0.88,-8.06,-0.06,-0.21,-0.04,0.14
1.31,1.50,1.44,0.04,0.30,-1.29,30.75,17.38,-8.06,-0.31,1.19,0.06,0.88,-8.06,-0.06,0.08,0.05,0.04,5.06,2.13,-8.06,0.16,0.32,0.00,0.31,0.44,0.38,0.03,-1.29,-0.01,5.06,0.75,-0.06,-0.46,0.07,0.43
13.25,18.63,-8.06,-0.34,-0.01,-0.51,-10.63,-2.69,-27.88,-0.29,-0.49,0.07,-0.69,-2.44,1.44,-0.20,0.06,-0.01,2041.88,-0.06,-0.06,-0.17,-0.15,0.17,-1.00,1.19,-8.06,-0.04,0.43,-1.29,-2.75,1.25,-8.06,-0.26,-0.22,0.06
